Degray Reservoir Calibration Data
Param#                            2
Br	RM	JDay	Depth	Temp
			(m)	Deg C
1	150.0	203.5	28.0	8.4
1	150.0	203.5	29.0	8.3
1	150.0	203.5	30.0	8.3
1	150.0	203.5	31.0	8.3
1	150.0	203.5	32.0	8.3
1	150.0	203.5	33.0	8.2
1	150.0	203.5	34.0	8.2
1	150.0	203.5	35.0	8.2
1	150.0	203.5	36.0	8.2
1	150.0	203.5	37.0	8.2
1	150.0	203.5	38.0	8.2
1	150.0	203.5	39.0	8.1
1	150.0	203.5	40.0	8.1
1	150.0	203.5	41.0	8.1
1	150.0	203.5	42.0	8.1
1	150.0	203.5	43.0	8.1
1	150.0	203.5	44.0	8.0
1	150.0	203.5	45.0	8.0
1	150.0	203.5	46.0	8.0
1	150.0	217.5	0.0	30.8
1	150.0	217.5	1.0	30.7
1	150.0	217.5	2.0	30.8
1	150.0	217.5	3.0	30.7
1	150.0	217.5	4.0	30.7
1	150.0	217.5	5.0	30.6
1	150.0	217.5	6.0	30.6
1	150.0	217.5	7.0	27.3
1	150.0	217.5	8.0	24.3
1	150.0	217.5	9.0	20.0
1	150.0	217.5	10.0	17.2
1	150.0	217.5	11.0	16.1
1	150.0	217.5	12.0	15.3
1	150.0	217.5	13.0	13.8
1	150.0	217.5	14.0	13.2
1	150.0	217.5	15.0	12.1
1	150.0	217.5	16.0	11.7
1	150.0	217.5	17.0	11.0
1	150.0	217.5	18.0	10.3
1	150.0	217.5	19.0	9.9
1	150.0	217.5	20.0	9.7
1	150.0	217.5	21.0	9.2
1	150.0	217.5	22.0	9.1
1	150.0	217.5	23.0	8.9
1	150.0	217.5	24.0	8.8
1	150.0	217.5	25.0	8.6
1	150.0	217.5	26.0	8.5
1	150.0	217.5	27.0	8.4
1	150.0	217.5	28.0	8.4
1	150.0	217.5	29.0	8.3
1	150.0	217.5	30.0	8.2
1	150.0	217.5	31.0	8.2
1	150.0	217.5	32.0	8.2
1	150.0	217.5	33.0	8.1
1	150.0	217.5	34.0	8.1
1	150.0	217.5	35.0	8.1
1	150.0	217.5	36.0	8.1
1	150.0	217.5	37.0	8.1
1	150.0	217.5	38.0	8.0
1	150.0	217.5	39.0	8.0
1	150.0	217.5	40.0	8.0
1	150.0	217.5	41.0	8.0
1	150.0	217.5	42.0	8.0
1	150.0	217.5	43.0	8.0
1	150.0	217.5	44.0	8.0
1	150.0	217.5	45.0	8.0
1	150.0	217.5	46.0	8.0
1	150.0	231.5	0.0	31.1
1	150.0	231.5	1.0	31.1
1	150.0	231.5	2.0	31.0
1	150.0	231.5	3.0	30.9
1	150.0	231.5	4.0	30.9
1	150.0	231.5	5.0	30.9
1	150.0	231.5	6.0	30.8
1	150.0	231.5	7.0	30.4
1	150.0	231.5	8.0	24.5
1	150.0	231.5	9.0	21.2
1	150.0	231.5	10.0	18.8
1	150.0	231.5	11.0	16.6
1	150.0	231.5	12.0	15.6
1	150.0	231.5	13.0	13.8
1	150.0	231.5	14.0	13.2
1	150.0	231.5	15.0	12.4
1	150.0	231.5	16.0	12.4
1	150.0	231.5	17.0	11.3
1	150.0	231.5	18.0	10.4
1	150.0	231.5	19.0	9.8
1	150.0	231.5	20.0	9.6
1	150.0	231.5	21.0	9.2
1	150.0	231.5	22.0	9.0
1	150.0	231.5	23.0	8.8
1	150.0	231.5	24.0	8.6
1	150.0	231.5	25.0	8.5
1	150.0	231.5	26.0	8.4
1	150.0	231.5	27.0	8.4
1	150.0	231.5	28.0	8.2
1	150.0	231.5	29.0	8.2
1	150.0	231.5	30.0	8.1
1	150.0	231.5	31.0	8.1
1	150.0	231.5	32.0	8.1
1	150.0	231.5	33.0	8.0
1	150.0	231.5	34.0	8.0
1	150.0	231.5	35.0	8.0
1	150.0	231.5	36.0	8.0
1	150.0	231.5	37.0	8.0
1	150.0	231.5	38.0	8.0
1	150.0	231.5	39.0	7.9
1	150.0	231.5	40.0	7.9
1	150.0	231.5	41.0	7.9
1	150.0	231.5	42.0	7.9
1	150.0	231.5	43.0	7.9
1	150.0	231.5	44.0	7.9
1	150.0	231.5	45.0	7.9
1	150.0	231.5	46.0	7.9
1	150.0	231.5	47.0	7.9
1	150.0	231.5	48.0	7.9
1	150.0	231.5	49.0	7.9
1	150.0	245.5	0.0	29.9
1	150.0	245.5	1.0	29.9
1	150.0	245.5	2.0	29.8
1	150.0	245.5	3.0	29.7
1	150.0	245.5	4.0	29.7
1	150.0	245.5	5.0	29.6
1	150.0	245.5	6.0	29.5
1	150.0	245.5	7.0	29.5
1	150.0	245.5	8.0	28.8
1	150.0	245.5	9.0	22.5
1	150.0	245.5	10.0	18.1
1	150.0	245.5	11.0	17.0
1	150.0	245.5	12.0	15.6
1	150.0	245.5	13.0	14.1
1	150.0	245.5	14.0	13.5
1	150.0	245.5	15.0	12.6
1	150.0	245.5	16.0	11.9
1	150.0	245.5	17.0	11.1
1	150.0	245.5	18.0	10.6
1	150.0	245.5	19.0	10.3
1	150.0	245.5	20.0	9.7
1	150.0	245.5	21.0	9.6
1	150.0	245.5	22.0	9.3
1	150.0	245.5	23.0	9.1
1	150.0	245.5	24.0	9.0
1	150.0	245.5	25.0	8.8
1	150.0	245.5	26.0	8.8
1	150.0	245.5	27.0	8.7
1	150.0	245.5	28.0	8.7
1	150.0	245.5	29.0	8.6
1	150.0	245.5	30.0	8.5
1	150.0	245.5	31.0	8.5
1	150.0	245.5	32.0	8.5
1	150.0	245.5	33.0	8.4
1	150.0	245.5	34.0	8.4
